script,keep_only_speaker_gold_clusters,remove_singleton_gold_clusters,use_speaker_sep,keep_person_sys_clusters,keep_speaker_sys_clusters,heuristic_speaker_resolution,heuristic_pronoun_resolution,min_speaker_sim,max_speaker_merges,muc_R,muc_P,muc_F1,bcubed_R,bcubed_P,bcubed_F1,ceafe_R,ceafe_P,ceafe_F1,conll2012_R,conll2012_P,conll2012_F1,nec_F1,nec_per_chains_missed,nec_name_F1,nec_pronoun_F1,nec_nominal_F1
basterds,False,False,True,True,True,False,False,0.6,3,0.6489028213166145,0.8685314685314686,0.742822966507177,0.24887330294662618,0.6184243422803197,0.35491692969055527,0.33320147088209007,0.3065453532115228,0.319318076262003,0.4103258650484436,0.5978337213411037,0.4723526574865784,0.38318169151440357,35.0,0.3446393815560803,0.3524065037301603,0.32625000000000004
basterds,False,True,False,True,True,False,False,0.6,3,0.5966562173458725,0.8299418604651163,0.6942249240121581,0.18949039910899634,0.48388249041300596,0.27233376233873346,0.27891205686426074,0.32074886539389985,0.2983710375757208,0.3550195577730432,0.5448577387573407,0.4216432413088708,0.3207488653938999,40.0,0.32765180393088345,0.23628501502043758,0.3201149425287356
basterds,False,True,True,True,True,False,False,0.6,3,0.6489028213166145,0.8685314685314686,0.742822966507177,0.24887330294662618,0.6184243422803197,0.35491692969055527,0.33320147088209007,0.3065453532115228,0.319318076262003,0.4103258650484436,0.5978337213411037,0.4723526574865784,0.38318169151440357,35.0,0.3446393815560803,0.3524065037301603,0.32625000000000004
basterds,True,False,False,False,False,False,False,0.6,3,0.7150837988826816,0.5638766519823789,0.6305418719211823,0.21102056001958172,0.3271063667731655,0.2565423332886988,0.5408956903495896,0.03906468874747036,0.07286677693828668,0.4890000164172843,0.3100159025010049,0.31998366071605594,0.5408956903495896,7.6923076923076925,0.5021790349160804,0.4917205359288783,0.2617152961980548
basterds,True,False,True,False,False,False,False,0.6,3,0.7731843575418994,0.5929734361610969,0.6711930164888458,0.2698020213727746,0.4082657802513678,0.32489651478897225,0.5989495733075919,0.04553417808771166,0.08463417883694233,0.5473119840740887,0.34892446483339207,0.3602412367049201,0.5989495733075919,0.0,0.4845267874755548,0.6703689800976826,0.27115384615384613
basterds,True,True,False,False,False,False,False,0.6,3,0.7150837988826816,0.5638766519823789,0.6305418719211823,0.21102056001958172,0.3271063667731655,0.2565423332886988,0.5408956903495896,0.03906468874747036,0.07286677693828668,0.4890000164172843,0.3100159025010049,0.31998366071605594,0.5408956903495896,7.6923076923076925,0.5021790349160804,0.4917205359288783,0.2617152961980548
basterds,True,True,True,False,False,False,False,0.6,3,0.7731843575418994,0.5929734361610969,0.6711930164888458,0.2698020213727746,0.4082657802513678,0.32489651478897225,0.5989495733075919,0.04553417808771166,0.08463417883694233,0.5473119840740887,0.34892446483339207,0.3602412367049201,0.5989495733075919,0.0,0.4845267874755548,0.6703689800976826,0.27115384615384613
basterds,True,False,False,False,True,False,False,0.6,3,0.6659217877094972,0.7422166874221668,0.702002355712603,0.20639568612409914,0.44538606096220335,0.2820752868681728,0.5408956903495896,0.16742009463201582,0.2556961445288969,0.47107105472772864,0.451674281005462,0.4132579290365575,0.5408956903495896,7.6923076923076925,0.5021790349160804,0.4917205359288783,0.2617152961980548
basterds,True,False,True,False,True,False,False,0.6,3,0.7150837988826816,0.7766990291262136,0.7446189645142525,0.2643962206374371,0.5658715619630814,0.3604001154437872,0.5989495733075919,0.19465861132496737,0.2938243189810828,0.5261431976092369,0.5124097341380874,0.46628113297970747,0.5989495733075919,0.0,0.4845267874755548,0.6703689800976826,0.27115384615384613
basterds,True,True,False,False,True,False,False,0.6,3,0.6659217877094972,0.7422166874221668,0.702002355712603,0.20639568612409914,0.44538606096220335,0.2820752868681728,0.5408956903495896,0.16742009463201582,0.2556961445288969,0.47107105472772864,0.451674281005462,0.4132579290365575,0.5408956903495896,7.6923076923076925,0.5021790349160804,0.4917205359288783,0.2617152961980548
